,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
FT2263,332.192561226739,1.2126040140787768,3871.495797804607,3766.871033069801,3105.480683278838
FT2264,332.274640223368,0.83485,34007.01495758128,30486.540941729225,26854.92891635713
FT2265,332.916259086209,5.04074630737305,5163.058732904926,3062.405724319097,3552.394626730327
FT2267,333.031778255469,3.243642171223967,1098.0798000634018,1850.3914486688361,1417.6178147117985
FT2270,333.16570327741,4.342550260417,5221.90250275702,3227.330335714385,4721.757285989536
FT2271,333.207697603133,0.8514666770936734,38648.63330123681,30676.19029410823,33112.54069894594
FT2273,333.27882269584,0.818232917785645,9281.193251368575,8258.131123664032,9795.53050043894
FT2274,334.12039197746,4.35889892578125,4067.2033277629375,2507.4425137222047,2803.2114992422185
FT2275,334.16477234288,1.01771738179508,6253.51386536224,6398.422854571443,7603.394426980953
FT2276,334.546916112651,0.6436652954101567,5956.769474077548,3187.2876923271106,3930.6842640619902
FT2277,334.847119892413,13.485882568359367,1777.2540545906636,1489.0918745169568,1743.8920425585056
FT2278,334.896140976584,13.086900000000002,565388.8038326937,505193.6374030622,467606.79489981255
FT2279,335.049530125759,5.140517171223967,428103.1642110768,360304.8425285483,336169.14758996945
FT2280,335.095665730001,5.8553668457033,4434.944622250437,5176.757428263257,3368.677440109684
FT2282,335.095800205856,6.404049173990884,4553.34805137813,4074.4375513431687,4971.669729839217
FT2283,335.11584948034,4.35889892578125,16103.498735115209,11353.320728319064,11192.378661038052
FT2285,335.899215248304,13.086900000000002,21035.27218620899,18899.810240237824,19012.468836774155
FT2287,336.052138994232,5.140517171223967,60689.80358691602,53210.35191724995,47827.1593905974
FT2288,336.077716330284,6.345830145263833,1911.0184309607134,1703.5635420521833,2358.0215048781874
FT2289,336.14728613921,1.0509684244791666,5863.128209441533,4667.645398718116,4670.663372155598
FT2290,336.120379489676,4.37567240397135,2731.685233712479,1432.184616471985,2831.7399399122205
FT2291,336.326923654341,0.9678511937459316,12838.754863724795,11532.196485357024,12229.31788093919
FT2292,336.89981801736,13.086900000000002,13387.852677420347,11775.433726726758,10529.592055548586
