Row.names,mz,mzmin,mzmax,rt,rtmed,rtmin,rtmax,npeaks,X1,ms_level,control_1.mzML,control_2.mzML,control_3.mzML
FT2580,335.1075716,335.1060536,335.1090895,4.500766667,270.046,268.568,271.524,2,2,1,16131.9178,16713.46292,29364.35051
FT2581,335.0621937,335.0320477,335.0642057,7.339116667,440.347,439.354,441.359,5,3,1,19480.31268,25011.44812,24848.93806
FT2582,335.1283026,335.1277134,335.1289268,6.114666667,366.88,366.861,366.919,3,3,1,9194.710191,11325.82805,9315.503248
FT2583,335.1282172,335.1281537,335.1286877,3.665133333,219.908,219.886,219.947,3,3,1,18192.0656,18388.95191,11970.55085
FT2584,335.119524,335.1193963,335.1196171,1.86065,111.639,110.667,111.704,3,3,1,71515.53738,45825.19691,54367.93638
FT2585,335.1249795,335.0989333,335.1256377,4.228516667,253.711,250.731,255.635,3,2,1,16192.11849,15157.69391,9721.906101
FT2586,335.2027837,335.1732196,335.2221718,0.917741667,55.0645,53.069,58.01,6,3,1,39924.43573,76808.38728,35728.74101
FT2587,335.8993508,335.8991352,335.8995664,12.32115,739.269,739.262,739.276,2,2,1,37879.1496,3728.694865,28853.21592
FT2588,335.9607758,335.9606043,335.9609473,8.332825,499.9695,499.949,499.99,2,2,1,7526.218977,14548.06963,8907.981764
FT2589,336.1058983,336.1056614,336.1063591,4.89055,293.433,293.394,294.365,3,3,1,61112.16228,39626.9273,21534.23651
FT2590,336.0926029,336.0920748,336.093131,0.917958333,55.0775,55.056,55.099,2,2,1,11136.72212,26148.81145,16566.7182
FT2591,336.1268084,336.1266658,336.1269691,2.373733333,142.424,139.465,142.489,3,3,1,31394.04917,33625.76697,18777.45499
FT2592,336.1412819,336.1408322,336.1415231,5.5019,330.114,329.183,331.13,3,3,1,16153.34582,32454.28291,15815.94419
FT2593,336.3270166,336.3266512,336.3271685,0.93415,56.049,56.023,56.092,3,3,1,139259.0097,89262.78139,197093.3834
FT2594,336.8174701,336.8173897,336.8175339,12.58681667,755.209,755.151,756.158,3,3,1,1440928.763,1279497.777,888462.1816
FT2595,336.9000487,336.89996,336.9001375,12.312875,738.7725,738.269,739.276,2,2,1,25254.15668,1567.815222,15875.69202
FT2596,337.0553722,337.0551843,337.0554788,6.991866667,419.512,419.493,419.551,3,3,1,654342.2761,574605.3792,545657.3719
FT2597,337.053814,337.0536738,337.0538688,0.817866667,49.072,48.148,49.097,3,3,1,34473.70317,35737.32335,24822.17963
FT2598,337.0929928,337.0927917,337.0930661,6.6615,399.69,399.631,400.644,3,3,1,62613.76915,53705.52591,37941.35452
FT2599,337.0632914,337.0632901,337.0632966,6.495983333,389.759,389.72,390.694,3,3,1,15017.41434,23527.9287,36340.70844
FT2600,337.1034691,337.0952476,337.104755,4.393191667,263.5915,258.676,266.62,4,3,1,28016.23497,47879.66728,35308.44147
FT2601,337.0824159,337.0822568,337.0825749,2.81255,168.753,167.276,170.23,2,2,1,38560.1835,5895.281887,17880.43705
FT2602,337.1319463,337.1299437,337.165754,0.951416667,57.085,57.042,58.079,5,3,1,24588.35106,22574.89705,8286.982446
FT2603,337.1250389,337.1243805,337.1256972,3.574241667,214.4545,213.927,214.982,2,2,1,16568.27434,25108.94838,9956.156014
FT2604,337.3109294,337.3107779,337.3111288,0.801733333,48.104,48.079,48.148,3,3,1,13138.83453,14124.27854,12360.83927
FT2605,337.3302221,337.3296729,337.3304692,0.93415,56.049,56.023,57.085,3,3,1,33787.81939,19605.18378,46363.98901
FT2606,337.8205886,337.8204805,337.8208625,12.58681667,755.209,755.151,756.158,3,3,1,53717.21384,47805.83674,31203.45135
FT2607,337.9053799,337.9052973,337.9053981,5.138816667,308.329,307.297,309.26,3,3,1,1432064.863,1435137.656,1298456.035
FT2608,337.9053547,337.9052472,337.9053696,3.1024,186.144,185.19,188.104,3,3,1,2019136.524,1614667.334,1639240.575
FT2609,337.9055522,337.9050925,337.9055546,23.59263333,1415.558,1413.616,1417.531,3,3,1,1386564.788,1560491.755,1918356.867
FT2610,337.9053109,337.9050712,337.9055507,1.281908333,76.9145,76.882,76.947,2,2,1,888144.6236,1825254.439,1309786.144
FT2611,337.9053859,337.9052849,337.905487,8.1258,487.548,487.079,488.017,2,2,1,143748.8412,146185.4727,140898.2587
FT2612,337.9055095,337.9053136,337.9056267,17.50186667,1050.112,1047.115938,1052.136,3,3,1,1123627.738,1610165.411,1386117.838
FT2613,337.9053016,337.9051914,337.9054118,7.554441667,453.2665,452.283,454.25,2,2,1,368576.2007,553219.6889,909680.6766
FT2614,337.9055573,337.9055184,337.9055961,12.94234167,776.5405,775.073,778.008,2,2,1,261658.4472,272624.3864,291231.989
FT2615,338.0485823,338.0485029,338.0485902,8.332483333,499.949,499.933,499.99,3,3,1,52374.52417,44367.68281,37602.04969
FT2616,338.1105439,338.1101484,338.1106036,5.237466667,314.248,314.226,315.28,3,3,1,23077.12698,22344.72201,17642.16414
FT2617,338.0581208,338.0581205,338.0582813,6.991866667,419.512,419.493,419.551,3,3,1,76493.73381,67290.25628,61881.07672
FT2618,338.0663641,338.0658574,338.0666293,8.117983333,487.079,487.04,488.017,3,3,1,16456.74225,16240.45434,10925.03049
FT2619,338.1113575,338.0760334,338.1458415,4.285933203,257.1559922,251.724,258.638,4,3,1,13959.56406,8738.798063,6429.83847
FT2620,338.1008242,338.100489,338.1011595,1.2076,72.456,71.938,72.974,2,2,1,17350.14505,19808.61752,13411.57468
FT2621,338.2053638,338.2051681,338.2055595,0.818441667,49.1065,48.079,50.134,2,2,1,26707.69416,42562.06207,25574.56163
FT2622,338.8158087,338.8157908,338.8158565,12.58681667,755.209,755.151,756.158,3,3,1,419234.3079,371384.5324,252461.5759
FT2623,338.9887846,338.9885109,338.988813,8.795916667,527.755,527.739,527.796,3,3,1,2617270.97,2594766.505,1734210.188
FT2624,338.9885265,338.9884475,338.9886056,7.025133333,421.508,421.479,421.537,2,2,1,469351.4166,351321.9568,284396.0284
FT2625,339.1050251,339.0725261,339.1057626,3.92995,235.797,234.842,236.767,4,3,1,41473.57827,19634.02286,10342.03366
FT2626,339.0870556,339.0867964,339.0871108,3.63165,217.899,216.968,217.922,3,3,1,55747.50318,70053.01774,39413.86805
FT2627,339.108006,339.1069955,339.1090164,1.331566667,79.894,79.862,79.926,2,2,1,11214.95686,10651.90291,6516.446177
FT2628,339.1996663,339.1994311,339.1999046,0.801733333,48.104,48.079,48.148,3,3,1,2061863.408,1050939.101,1033421.578
FT2629,339.1229158,339.1226687,339.1229684,3.252016667,195.121,195.082,197.042,3,3,1,172744.9521,207600.7893,221759.4267
FT2630,339.1419709,339.1409253,339.1426921,0.9838,59.028,57.016,59.072,3,3,1,16814.98337,10075.9736,14609.60598
FT2631,339.8192217,339.8189176,339.8195258,12.58633333,755.18,755.151,755.209,2,2,1,11697.44241,9867.347268,5720.655554
FT2632,339.9922157,339.9920038,339.9922336,8.795916667,527.755,527.739,527.796,3,3,1,169730.455,177176.6389,117882.2514
FT2633,339.9038363,339.9034948,339.9040021,1.297916667,77.875,76.903,77.94,3,3,1,918440.2913,786769.9477,829019.6026
FT2634,339.9038103,339.9037375,339.9038845,5.155366667,309.322,308.267,313.255,3,3,1,617714.0339,653666.5499,594850.1229
FT2635,339.9037277,339.9036162,339.9038391,8.13375,488.025,488.017,488.033,2,2,1,64333.3012,52382.78288,67305.53789
FT2636,339.9434266,339.9433044,339.9435488,8.498341667,509.9005,509.88,509.921,2,2,1,4910.372073,16213.9421,10127.15256
