,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML,example_data_for_colab/xcms_example_data//blank-2_6540.mzML,uniqueIon,example_data_for_colab.xcms_example_data..B1_NIST1950_1_6540.mzML,example_data_for_colab.xcms_example_data..B1_NIST1950_2_6540.mzML,example_data_for_colab.xcms_example_data..B1_NIST1950_3_6540.mzML,example_data_for_colab.xcms_example_data..blank.2_6540.mzML
2665,381.2982470059543,0.8561166666669999,2640.198988206449,2223.9462156967,2745.8713862623526,1111.97310784835,True,,,,
2666,381.3723526318794,0.756116666667,938.0834935903748,2530.2127251274314,2911.676981179139,469.0417467951874,True,,,,
2667,381.7337063639292,1.056116666667,9084.37069886515,4900.454024675464,6480.746977128183,2450.227012337732,True,,,,
2671,382.18735890301593,0.756116666667,13982.850904848048,14616.313390097152,14023.179958007566,3100.436328340497,True,,,,
2673,382.9549860858326,0.756116666667,3153.8697446775927,2144.189898859744,995.1795411211816,497.5897705605908,True,,,,
2678,383.28035669790137,0.8561166666669999,7811.41307615025,6317.417638826118,5728.975044780851,743.9259547896236,True,,,,
2690,385.2370556504805,0.956116666667,3751.326348633923,3989.2642914020544,4749.211487781036,1875.6631743169614,True,,,,
2694,385.7300868298668,1.056116666667,9817.488850212723,10432.918064795293,7447.763915298614,3723.881957649307,True,,,,
2698,387.0978059777928,0.956116666667,2533.539169398978,2417.0182899106235,3324.3333226465343,1208.5091449553117,True,,,,
2701,387.7295247840443,1.056116666667,3315.347728262076,3615.3926063694826,2286.677475681696,1143.338737840848,True,,,,
2715,390.2723650525734,0.756116666667,8366.811529361497,3541.19830973665,4446.296597160146,1770.599154868325,True,,,,
2716,390.2723650525734,0.8561166666669999,8276.399266822884,3715.123806272929,4232.900927037674,1857.5619031364645,True,,,,
2724,392.8188307957172,4.956116666666999,7622.548361250353,1974.175433076764,1759.5691154442393,879.7845577221196,True,,,,
2731,393.27765659270153,5.056116666666998,2712.437496937376,3477.6774618855115,2539.491319336297,1269.7456596681484,True,,,,
2733,393.29956659572326,0.8561166666669999,31010.91650836832,31533.778789925964,26595.921647603693,13297.960823801846,True,,,,
2734,393.8643593555173,13.05611666666697,4988.727038295712,5751.48703814116,6351.828100719333,2494.363519147856,True,,,,
2738,394.9149185304913,13.05611666666697,3967.428537737597,3079.439692631597,4650.667872725284,1539.7198463157986,True,,,,
2747,395.34741000978255,0.8561166666669999,8856.786066792334,1931.247532895885,3862.49506579177,1931.247532895885,True,,,,
2749,396.14000206335527,1.056116666667,7181.684739760133,8254.610843607003,6047.73737375306,822.4243907469609,True,,,,
2753,396.3183255732057,0.756116666667,764.2157371195915,1633.3953309909175,1749.4455269868895,382.10786855979575,True,,,,
2763,397.2867715885396,0.956116666667,4387.301651932256,4409.4928652714025,5973.240273606485,2193.650825966128,True,,,,
2772,398.8244535379741,11.356116666666976,7231.747948314132,5089.347750058802,6393.898988370054,1733.639154237417,True,,,,
2773,398.9368461319261,0.756116666667,24634.603145454137,25302.819653211,28959.37927923156,12317.301572727069,True,,,,
2779,399.3167696213685,0.8561166666669999,822.1753533020773,411.08767665103863,2043.0728794170968,411.08767665103863,True,,,,
2785,400.23681901310994,0.8561166666669999,4305.049109475412,6283.069232685964,7241.291270044492,2152.524554737706,True,,,,
2789,401.1814427037229,5.356116666666997,6075.23184726563,7535.175269622402,5914.2634704155125,2957.1317352077563,True,,,,
2790,401.1960258380819,4.356116666667001,5553.390648898734,2714.07727115265,3086.8286292771177,1357.038635576325,True,,,,
2792,401.236961494824,0.956116666667,734.321775980582,367.160887990291,1263.882465106446,367.160887990291,True,,,,
2806,403.2748878716527,0.756116666667,6335.016786125027,2604.49116254529,4603.721420974357,1302.245581272645,True,,,,
2827,407.2597495833919,0.956116666667,6061.92895505223,8667.387674778513,9697.89821916674,3030.964477526115,True,,,,
2836,409.2537829217929,1.056116666667,1028.2279512195755,1011.1810498444456,1601.611882041325,505.5905249222228,True,,,,
2841,409.3277089754593,0.756116666667,24692.771920565378,26181.310324500537,21091.194682132784,10545.597341066392,True,,,,
2856,411.37931710611656,0.8561166666669999,20307.189190897712,23691.14305226454,21659.28884426274,10153.594595448856,True,,,,
2859,412.35077198048543,0.756116666667,4555.434944621784,5032.252320713094,5430.108216086942,2277.717472310892,True,,,,
2860,412.9709663408712,0.756116666667,10569.02182266365,10243.911308999144,11805.911056126197,5121.955654499572,True,,,,
2864,413.3248110400885,0.8561166666669999,9145.931813097686,4252.79526280636,7348.047603417082,2126.39763140318,True,,,,
2873,415.2921687561647,0.756116666667,149.7367121402752,705.082934886895,74.8683560701376,74.8683560701376,True,,,,
2879,416.2169207300462,0.956116666667,1758.103474954481,621.2308189173584,1065.9273386474067,310.6154094586792,True,,,,
2880,417.0734869160255,0.656116666667,46350.704574462434,25518.80731453324,16764.207290208127,1113.5306151018135,True,,,,
2889,418.1452348836928,0.756116666667,2771.52597006144,1738.701318028105,2842.139580550553,869.3506590140526,True,,,,
2890,418.3025578142498,0.756116666667,4078.826809981728,2317.4237603550328,1863.5911160442045,931.7955580221022,True,,,,
2900,421.3112915110299,1.056116666667,10789.528500003891,13484.364370856783,12607.037896785943,5394.764250001946,True,,,,
2906,422.53033887833647,8.856116666666985,990.6976682416392,4988.573557256992,2034.6554605701265,495.3488341208196,True,,,,
2907,423.090343635134,1.5561166666670003,7537.462109938562,6999.725621752339,7625.04978681459,3499.8628108761695,True,,,,
2909,423.3076291333159,0.956116666667,2107.2009096207325,4412.76976314771,2580.811158718477,1053.6004548103663,True,,,,
2912,424.19711110361226,1.156116666667,7927.557336209449,12007.576624734776,12051.276774532316,4181.0854087569605,True,,,,
2917,425.3237171614703,0.8561166666669999,5297.063715675948,5430.7347240993,1971.78703714328,890.5520181201939,True,,,,
2925,427.3583748638509,0.756116666667,3561.4670194753016,4691.301973154493,4046.630544398454,1780.7335097376508,True,,,,
2929,429.1577956950844,0.756116666667,7196.031703734304,10417.026526127196,10579.795692742608,3598.015851867152,True,,,,
2930,429.1577956950844,0.8561166666669999,6392.831737475031,8570.166599020762,8544.820054838467,3196.4158687375157,True,,,,
2938,430.30282340306366,0.8561166666669999,8919.555723336176,6009.632227204605,8037.574483700612,3004.8161136023027,True,,,,
2941,430.8346584325439,1.056116666667,25450.98098835326,15690.04722763254,14595.736710287156,7297.868355143578,True,,,,
2944,431.0520773483863,0.656116666667,9853.494541504348,7072.982094490321,4175.596226865489,2087.7981134327447,True,,,,
2945,431.1036409280426,4.356116666667001,8118.601808134096,4880.553045705291,5145.654263616226,2440.2765228526455,True,,,,
2959,433.3183319600891,0.956116666667,1566.270855947113,2445.9920230394946,1541.0341543720008,770.5170771860004,True,,,,
2963,434.334874795433,0.756116666667,10320.493681197782,7010.4260735486,9881.60935049636,3505.2130367743,True,,,,
2965,434.861603236886,7.556116666666989,548.8046673236254,826.9007920544936,1177.0830830059915,234.27975664367452,True,,,,
2976,435.95740689402487,0.756116666667,4643.728576870941,6510.917841256192,4155.7845034019865,2077.8922517009933,True,,,,
2986,437.3269738050441,0.8561166666669999,74095.20166931328,62776.55282912788,61884.86720454428,30942.43360227214,True,,,,
2989,437.8014839961152,1.056116666667,10025.61865870035,5343.537851297275,5753.338808708881,2671.7689256486374,True,,,,
