,index,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
3176,661769,467.31165740073243,0.9561166666669999,0.9588455557823181,0.9043712615966797,0.9841984510421753
3177,661987,467.37304227623883,0.756116666667,0.9919028878211975,0.9927122592926025,0.9888355135917664
3178,661988,467.37304227623883,0.8561166666669999,0.9882739782333374,0.9868562817573547,0.9892065525054932
3179,662427,468.3771359946148,0.756116666667,0.990189254283905,0.9918377995491028,0.989048421382904
3180,662428,468.3771359946148,0.8561166666669999,0.9846193194389343,0.9829051494598389,0.984088659286499
3181,662770,468.85488143433815,13.05611666666697,0.9899035692214966,0.9892818927764893,0.9894047975540161
3182,662771,468.85488143433815,13.15611666666697,0.8674294352531433,0.8464734554290771,0.8535498976707458
3183,662869,469.22647661815716,0.9561166666669999,0.9845197200775146,0.9812107086181641,0.9805806875228882
3184,662870,469.22647661815716,1.0561166666669999,0.914360761642456,0.875167727470398,0.9154081344604492
3185,663089,469.30769673894594,0.9561166666669999,0.9882013201713562,0.990786075592041,0.9882851839065552
3186,663528,469.3627872244369,0.8561166666669999,0.9999243021011353,0.9995458722114563,0.9997356534004211
3187,663747,469.37611625013193,0.756116666667,0.9889360070228577,0.9852730631828308,0.9896250367164612
3188,663748,469.37611625013193,0.8561166666669999,0.9817444682121277,0.9810173511505127,0.9804757237434387
3189,663968,469.42058402016835,0.8561166666669999,0.9999969005584717,0.9999818801879883,0.9999790191650391
3190,664310,469.85685351246104,13.05611666666697,0.9814190864562988,0.9803069233894348,0.981504499912262
3191,664407,470.37038217824966,0.756116666667,0.9985596537590027,0.9985343217849731,0.9976693987846375
3192,664627,470.3832737102956,0.756116666667,0.9922616481781006,0.9942903518676758,0.9953091740608215
3193,664970,470.8690465408987,13.05611666666697,0.9880995154380798,0.987371563911438,0.9867588877677917
3194,664971,470.8690465408987,13.15611666666697,0.8124626874923706,0.8125358819961548,0.7912219762802124
3195,665069,471.2444898170655,0.9561166666669999,0.9102571606636047,0.9138502478599548,0.8959127068519592
3196,665070,471.2444898170655,1.0561166666669999,0.9786085486412048,0.977405846118927,0.9745572805404663
3197,665287,471.27064939986775,0.756116666667,0.9919187426567078,0.9925853610038757,0.992356538772583
3198,665509,471.2933485919282,0.9561166666669999,0.9848195314407349,0.9791648387908936,0.9858668446540833
3199,665727,471.3468301561991,0.756116666667,0.9914470911026001,0.9918900728225708,0.9900862574577332
3200,665728,471.3468301561991,0.8561166666669999,0.9768508672714233,0.9783300757408142,0.9769570827484131
3201,666169,472.24680763708693,0.9561166666669999,0.927824079990387,0.9415941834449768,0.9088402390480042
3202,666170,472.24680763708693,1.0561166666669999,0.9760798811912537,0.9754527807235718,0.9754898548126221
3203,666387,472.3513557652937,0.756116666667,0.9935682415962219,0.9923951625823975,0.994183361530304
3204,666610,472.66370670535923,1.0561166666669999,0.9933839440345764,0.9990565180778503,0.9971593618392944
3205,667047,473.27426748005814,0.756116666667,0.8967597484588623,0.8710169792175293,0.9201527833938599
